case_name,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,ground_up,aep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,250,8000,True,pml_2022_usd,796210.45551719936,796210.45551719936,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,500,4000,True,pml_2022_usd,37757441.163253807,37757441.163253807,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,1000,2000,True,pml_2022_usd,75397954.561716348,75397954.561716348,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,2000,1000,True,pml_2022_usd,105089099.75862092,105089099.75862092,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,2500,800,True,pml_2022_usd,113224851.77210844,113224851.77210844,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,5000,400,True,pml_2022_usd,136493937.78774631,136493937.78774631,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,10000,200,True,pml_2022_usd,158901129.60853463,158901129.60853463,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,20000,100,True,pml_2022_usd,176719549.89548907,176719549.89548907,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,50000,40,True,pml_2022_usd,199268205.37645519,199268205.37645519,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,100000,20,True,pml_2022_usd,215391176.90774089,215391176.90774089,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,200000,10,False,pml_2022_usd,226213072.43491083,226213072.43491083,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,500000,4,False,pml_2022_usd,247763064.0140003,247763064.0140003,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,1000000,2,False,pml_2022_usd,255685606.61571932,255685606.61571932,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,aep,2000000,1,False,pml_2022_usd,282749467.8026793,282749467.8026793,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,250,8000,True,pml_2022_usd,796210.45551719936,796210.45551719936,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,500,4000,True,pml_2022_usd,37757441.163253807,37757441.163253807,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,1000,2000,True,pml_2022_usd,75375373.749429971,75375373.749429971,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,2000,1000,True,pml_2022_usd,105049458.38076323,105049458.38076323,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,2500,800,True,pml_2022_usd,113005775.26042736,113005775.26042736,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,5000,400,True,pml_2022_usd,136419436.34101933,136419436.34101933,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,10000,200,True,pml_2022_usd,158155937.84227994,158155937.84227994,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,20000,100,True,pml_2022_usd,175743423.02325767,175743423.02325767,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,50000,40,True,pml_2022_usd,196844852.51328471,196844852.51328471,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,100000,20,True,pml_2022_usd,215391176.90774089,215391176.90774089,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,200000,10,False,pml_2022_usd,226213072.43491083,226213072.43491083,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,500000,4,False,pml_2022_usd,247763064.0140003,247763064.0140003,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,1000000,2,False,pml_2022_usd,255685606.61571932,255685606.61571932,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,ground_up,oep,2000000,1,False,pml_2022_usd,282749467.8026793,282749467.8026793,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,250,8000,True,pml_2022_usd,9953.9024200442364,9953.9024200442364,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,500,4000,True,pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,1000,2000,True,pml_2022_usd,47896738.672997966,47896738.672997966,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,2000,1000,True,pml_2022_usd,73243559.517593473,73243559.517593473,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,2500,800,True,pml_2022_usd,80748393.056030944,80748393.056030944,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,5000,400,True,pml_2022_usd,102356447.56242976,102356447.56242976,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,10000,200,True,pml_2022_usd,122756158.68809128,122756158.68809128,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,20000,100,True,pml_2022_usd,140343076.7506676,140343076.7506676,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,50000,40,True,pml_2022_usd,159608668.40763041,159608668.40763041,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,100000,20,True,pml_2022_usd,177724333.83312032,177724333.83312032,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,200000,10,False,pml_2022_usd,188669633.61167639,188669633.61167639,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,500000,4,False,pml_2022_usd,210111664.17466521,210111664.17466521,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,1000000,2,False,pml_2022_usd,217639236.30653849,217639236.30653849,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,aep,2000000,1,False,pml_2022_usd,244325807.3326858,244325807.3326858,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,250,8000,True,pml_2022_usd,9953.9024200442364,9953.9024200442364,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,500,4000,True,pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,1000,2000,True,pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,2000,1000,True,pml_2022_usd,73217140.444045991,73217140.444045991,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,2500,800,True,pml_2022_usd,80649066.855063573,80649066.855063573,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,5000,400,True,pml_2022_usd,102204649.01167828,102204649.01167828,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,10000,200,True,pml_2022_usd,122264317.26838058,122264317.26838058,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,20000,100,True,pml_2022_usd,139203216.76625985,139203216.76625985,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,50000,40,True,pml_2022_usd,159608668.40763041,159608668.40763041,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,100000,20,True,pml_2022_usd,177724333.83312032,177724333.83312032,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,200000,10,False,pml_2022_usd,188669633.61167639,188669633.61167639,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,500000,4,False,pml_2022_usd,210111664.17466521,210111664.17466521,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,1000000,2,False,pml_2022_usd,217639236.30653849,217639236.30653849,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,gross_insured,oep,2000000,1,False,pml_2022_usd,244325807.3326858,244325807.3326858,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,250,8000,True,pml_2022_usd,761990.97694078542,761990.97694078542,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,500,4000,True,pml_2022_usd,19217738.872122243,19217738.872122243,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,1000,2000,True,pml_2022_usd,27745451.866992548,27745451.866992548,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,2000,1000,True,pml_2022_usd,31728186.345697321,31728186.345697321,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,2500,800,True,pml_2022_usd,32522662.493506391,32522662.493506391,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,5000,400,True,pml_2022_usd,34542689.769851804,34542689.769851804,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,10000,200,True,pml_2022_usd,35946243.048072875,35946243.048072875,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,20000,100,True,pml_2022_usd,36759769.862497538,36759769.862497538,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,50000,40,True,pml_2022_usd,37400500.53619837,37400500.53619837,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,100000,20,True,pml_2022_usd,38017802.970516771,38017802.970516771,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,200000,10,False,pml_2022_usd,38880488.070925079,38880488.070925079,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,500000,4,False,pml_2022_usd,56262367.835359588,56262367.835359588,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,1000000,2,False,pml_2022_usd,60752310.955393568,60752310.955393568,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,aep,2000000,1,False,pml_2022_usd,62301773.029834859,62301773.029834859,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,250,8000,True,pml_2022_usd,761828.10251695011,761828.10251695011,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,500,4000,True,pml_2022_usd,19217738.872122243,19217738.872122243,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,1000,2000,True,pml_2022_usd,27738629.933401041,27738629.933401041,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,2000,1000,True,pml_2022_usd,31697875.334897108,31697875.334897108,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,2500,800,True,pml_2022_usd,32496338.920049068,32496338.920049068,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,5000,400,True,pml_2022_usd,34493030.9166549,34493030.9166549,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,10000,200,True,pml_2022_usd,35911988.621998891,35911988.621998891,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,20000,100,True,pml_2022_usd,36654818.707668282,36654818.707668282,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,50000,40,True,pml_2022_usd,37315411.789761566,37315411.789761566,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,100000,20,True,pml_2022_usd,37606816.113874003,37606816.113874003,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,200000,10,False,pml_2022_usd,38017802.970516771,38017802.970516771,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,500000,4,False,pml_2022_usd,38071079.966387294,38071079.966387294,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,1000000,2,False,pml_2022_usd,38129704.115525134,38129704.115525134,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,uninsured,oep,2000000,1,False,pml_2022_usd,38423660.469993517,38423660.469993517,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,ground_up,aep,50,40000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,ground_up,aep,100,20000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,ground_up,aep,200,10000,True,pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_pml_table.csv,FULL_CATALOG_2000000_YEARS,2022_USD
